Fun,pair,diff,lwr,upr,p adj,p1.f,p1.pH,p2.f,p2.pH,key
A,7:P-5:A,3.0333333333333297,0.5894912087515567,5.477175457915102,0.004507563104646506,P,7,A,5,K
A,7:C-7:A,5.385555555555562,2.9417134309737887,7.829397680137335,1.3069423321354634e-8,C,7,A,7,K
C,7:C-5:A,1.7500000000000018,0.42332650732753807,3.0766734926724655,0.0019135598005926013,C,7,A,5,K
C,7:C-7:A,1.6666666666666683,0.30363922406701893,3.029694109266318,0.005573407585255152,C,7,A,7,K
C,7:C-5:C,1.4200000000000026,0.09332650732753889,2.7466734926724663,0.026223916733468244,C,7,C,5,K
C,5:H-5:C,1.8824999999999985,0.47535026536628777,3.2896497346337092,0.0015435560910199708,H,5,C,5,K
C,7:H-5:C,-1.591111111111108,-2.9541385537107576,-0.22808366851145867,0.010004878582121735,H,7,C,5,K
C,5:L-5:C,3.16,1.5351634438382333,4.784836556161767,6.031363749547936e-7,L,5,C,5,K
C,7:L-5:C,1.5088888888888876,0.14586144628923825,2.8719163314885368,0.01839192890786734,L,7,C,5,K
C,5:P-5:C,-1.4799999999999986,-2.843027442599648,-0.11697255740034929,0.022611237538221807,P,5,C,5,K
C,7:H-7:C,-3.0111111111111106,-4.37413855371076,-1.6480836685114613,1.4180661866980415e-8,H,7,C,7,K
C,5:L-7:C,1.7399999999999975,0.11516344383823074,3.364836556161764,0.026091874336252818,L,5,C,7,K
C,5:P-7:C,-2.9000000000000012,-4.26302744259965,-1.5369725574003519,4.5682249871781266e-8,P,5,C,7,K
H,5:H-5:A,-3.9855555555555577,-5.219133288197001,-2.7519778229141147,0,H,5,A,5,K
H,7:H-5:A,2.3299999999999947,1.1293236028138427,3.530676397186147,6.220508990129048e-7,H,7,A,5,K
H,5:H-7:A,-14.022222222222219,-15.43723292632382,-12.607211518120618,0,H,5,A,7,K
H,7:H-7:A,-7.706666666666667,-9.093088348916776,-6.320244984416557,0,H,7,A,7,K
H,7:H-5:C,5.760000000000002,4.48649036630856,7.033509633691443,0,H,7,C,5,K
H,5:H-7:C,-15.344444444444445,-16.61006849374885,-14.078820395140037,0,H,5,C,7,K
H,7:H-7:C,-9.028888888888893,-10.262466621530336,-7.79531115624745,0,H,7,C,7,K
H,7:H-5:H,6.3155555555555525,5.0819778229141095,7.5491332881969955,0,H,7,H,5,K
H,5:L-5:H,4.215555555555556,2.9819778229141134,5.449133288196999,0,L,5,H,5,K
H,7:L-5:H,12.155555555555555,10.850980146154553,13.460130964956557,0,L,7,H,5,K
H,5:P-5:H,1.6755555555555546,0.4419778229141118,2.9091332881969976,0.00121029065860212,P,5,H,5,K
H,7:P-5:H,10.845555555555553,9.61197782291411,12.079133288196996,0,P,7,H,5,K
H,5:L-7:H,-2.099999999999996,-3.300676397186148,-0.899323602813844,8.623225622672592e-6,L,5,H,7,K
H,7:L-7:H,5.840000000000003,4.566490366308562,7.113509633691445,0,L,7,H,7,K
H,5:P-7:H,-4.639999999999998,-5.84067639718615,-3.439323602813846,0,P,5,H,7,K
H,7:P-7:H,4.529999999999999,3.3293236028138473,5.730676397186151,0,P,7,H,7,K
L,5:L-5:A,-1.520000000000004,-2.715917645723514,-0.3240823542764941,0.0032768601327324287,L,5,A,5,K
L,7:L-5:A,1.8311111111111043,0.6024225308284883,3.05979969139372,2.46493033162265e-4,L,7,A,5,K
L,5:L-7:A,-7.640000000000003,-8.868688580282619,-6.4113114197173875,0,L,5,A,7,K
L,7:L-7:A,-4.288888888888895,-5.549496773713101,-3.028281004064689,0,L,7,A,7,K
L,5:L-5:C,-1.5200000000000031,-2.9846940032065756,-0.055305996793430845,0.03556083084116113,L,5,C,5,K
L,7:L-5:C,1.8311111111111051,0.33953974674621445,3.322682475475996,0.005272587223028258,L,7,C,5,K
L,5:L-7:C,-7.851111111111112,-9.079799691393728,-6.622422530828496,0,L,5,C,7,K
L,7:L-7:C,-4.5000000000000036,-5.76060788482421,-3.2393921151757974,0,L,7,C,7,K
