Plate_ID,Plug_ID,1,2,3,4,5,6,7,8,
HP709,h,2.7,6.6,10.4,13.3,14.7,15.6,,,
HP709,p,0.6,1.7,3.2,5.6,7.6,,,,
HP710,h,3,6.8,10.5,12.8,14.4,15.3,,,
HP710,p,1.1,1.9,4.1,6.5,7.9,,,,
LA501,l,1,1.5,2.3,3.4,,5.3,6.6,,
LA501,a,0.6,1.4,2.6,3.2,,4.3,5.9,,
LA502,l,0.8,1.4,2.2,3.6,,5,6.5,,
LA502,a,0.6,1.4,2.4,3.1,,4.2,5.5,,
LA503,l,0.8,1.5,2.3,3,,4.9,6.4,,
LA503,a,0.6,0.9,1.3,1.6,,,,,
LA504,l,0.6,1.2,2,2.6,,4.4,6.3,,
LA504,a,0.6,1.7,3.1,3.7,,4.7,6.2,,
LA505,l,0.7,1.4,2.4,3.1,,4.9,6.4,,
LA505,a,0.7,1.3,2,2.6,,3.7,5,,
LA506,l,0.8,1.6,2.3,3.2,,4.9,6.4,,
LA506,a,0.9,1.8,2.6,3.2,,4.1,5.6,,
LA507,l,0.7,1.5,2.5,3.2,,5.1,6.6,,
LA507,a,0.7,1,1.2,1.5,,,,,
LA508,l,0.6,1.4,2.2,3.1,,4.6,5.9,,
LA508,a,0.7,1.4,2.5,3,,,,,
LA509,l,0.7,1.6,2.4,3.3,,4.8,6.3,,
LA509,a,0.7,1.4,2.1,2.7,,,,,
LA510,l,0.8,1.6,2.3,3.2,,4.7,6.4,,
LA510,a,0.4,1,1.7,2.7,,3.9,4.8,,
LA701,l,0.8,1.3,2.7,4.1,6.2,8.7,10.3,,
LA701,a,0.8,1.5,2.6,3.6,5,6.1,8.6,,
LA702,l,0.7,1.6,2.7,4.4,7.1,10.2,13.2,,
LA702,a,0.6,1.3,1.9,2,,,,,
LA703,l,0.8,1.3,2.7,4.8,7.7,10.2,12.8,,
LA703,a,0.5,0.9,1.8,3.1,,,3.6,,
LA704,l,0.9,1.5,2.5,4.5,7.4,10.4,13.5,,
LA704,a,0.5,1.2,1.7,1.8,,,,,
LA705,l,0.5,1.4,2.3,3.9,6.4,8.6,11.8,,
LA705,a,0.5,0.9,1.4,1.5,,,,,
LA706,l,0.7,1.4,2.1,4.5,7.2,10,13,,
LA706,a,0.6,1.1,1.5,1.8,,,,,
LA707,l,0.7,1.3,2.5,4,6.2,8.9,11.1,,contam
LA707,a,0.6,1.1,1.4,1.6,,,,,contam
LA708,l,0.6,1.3,2.4,4.1,6.5,9.7,12.2,,
LA708,a,0.6,1.3,1.8,2,,,,,
LA709,l,0.7,1.1,2.4,4.8,8,10.9,13.5,,
LA709,a,0.6,1.4,2.2,2.9,,,,,
LA710,l,0.7,1.3,2.3,4.6,7.4,9.6,12.2,,
LA710,a,0.5,1.1,2.4,3.3,,,,,
LH501,l,0.8,1.5,2.2,2.9,3.5,4.2,,5.4,
LH501,h,1.7,2.5,3.5,4.2,5.2,6.5,,8.7,
LH502,l,0.7,1.3,2.1,3,3.9,4.9,,6.3,
LH502,h,1.3,2.4,3.1,3.7,4.5,5.5,,7.9,
LH503,l,0.7,1.5,2.3,2.9,4,5,,6.9,
LH503,h,1.6,3.2,4.2,5,5.7,6.7,,8.5,
LH504,l,0.8,1.3,2.1,2.8,3.5,4.2,,6.2,
LH504,h,1.5,2.5,3.5,4.3,5,5.9,,8.1,
LH505,l,0.7,1.2,2,2.8,3.6,4.5,,5.8,
LH505,h,1.5,2.4,3.6,4.6,5.5,6.8,,8.9,
LH506,l,0.7,1.6,2.1,3.1,3.9,5.1,,6.4,
LH506,h,1.7,3,4.1,5.2,6.2,7.6,,9.7,
LH507,l,0.8,1.4,2.2,2.9,3.6,4.7,,5.2,
LH507,h,1.4,2.7,3.5,3.9,4.8,5.9,,8.4,
LH508,l,0.8,1.6,2.2,2.8,3.7,4.6,,5.2,
LH508,h,1.6,2.7,3.4,3.9,4.9,6.2,,8.3,
LH509,l,0.7,1.2,2.3,2.8,3.8,5,,6.9,
LH509,h,1.5,2.5,3.3,3.8,4.7,5.8,,8.4,
LH510,l,0.8,1.3,2.3,3.1,3.9,5.2,,6.6,
LH510,h,1.6,2.1,3.3,4.1,5.1,6.2,,8.7,
LH701,l,0.8,1.6,2.7,3.8,5.6,6.4,,,
LH701,h,2.9,6,10,12.1,13.9,15.6,,,
LH702,l,0.6,1.6,2.6,3.9,5.3,6.4,,,
LH702,h,2.5,5.9,9.4,12.2,13.8,15.6,,,
LH703,l,0.8,1.5,2.9,3.9,5.3,5.8,,,contam
LH703,h,2.9,6.6,9.5,12.6,14.2,15.8,,,contam
LH704,l,0.4,1.1,2.3,3.5,4.5,5.5,,,
LH704,h,2.3,6.3,9.4,12.9,15,16.9,,,
LH705,l,0.7,1.5,2.3,2.8,4.7,5.6,,,
LH705,h,3.1,7.3,10.1,13.2,15.2,17.1,,,
LH706,l,0.6,1.4,2.4,3,3.5,4.7,,,contam
LH706,h,2.8,7.4,11.2,14.1,15.5,16.7,,,contam
LH707,l,0.9,1.7,2.6,3.8,5.6,7,,,
LH707,h,2.5,6,8.8,11.4,13,14.5,,,
LH708,l,0.7,1.3,3,4.1,5.5,6.6,,,
LH708,h,2.8,5.8,9.5,12.8,14.3,16.1,,,
LH709,l,0.6,1.2,2.8,3.5,5,5.9,,,
LH709,h,3.7,6.9,11.8,14.4,16,18.1,,,
LH710,l,0.7,1.2,2.3,3.3,4.9,5.6,,,
LH710,h,3.5,7,10.4,14,15.8,18.1,,,
LP501,l,0.6,1.2,2,2.7,3.2,3.5,5.1,,
LP501,p,0.9,2,4.7,7.8,11.8,13.3,16.1,,
