Plate_ID,Fun_ID,cont_ID,PH_ID,Plug_ID,opp_ID,r,K
CL706,L,0,7,lCL706,C,0.1732867951399863,12.6
CL707,C,0,7,cCL707,L,0.17328679513998635,5.5
CL707,L,0,7,lCL707,C,0.17838954445501828,12.8
CL708,C,0,7,cCL708,L,0.12645011395981004,5
CL708,L,0,7,lCL708,C,0.12770640594149768,13.8
CL709,C,0,7,cCL709,L,0.17328679513998638,6.4
CL709,L,0,7,lCL709,C,0.16098178603832977,12.6
CL710,C,0,7,cCL710,L,0.20924705419645903,4.7
CL710,L,0,7,lCL710,C,0.1373265360835137,13.3
CP502,C,0,5,cCP502,P,0.13732653608351378,1.8
CP502,P,0,5,pCP502,C,0.2718439651855201,14.4
CP503,C,0,5,cCP503,P,0.12260365662646588,3.7
CP503,P,0,5,pCP503,C,0.2660289632311586,16.8
CP504,C,0,5,cCP504,P,0.10591223254840051,2.5
CP504,P,0,5,pCP504,C,0.2084633525697595,17.3
CP505,C,0,5,cCP505,P,0.10591223254840051,2.9
CP505,P,0,5,pCP505,C,0.24576410704660415,18.9
CP506,C,0,5,cCP506,P,0.15659537106192106,3
CP506,P,0,5,pCP506,C,0.26993553116917157,19.5
CP507,C,0,5,cCP507,P,0.08664339756999322,3
CP507,P,0,5,pCP507,C,0.22978493560786856,18.1
CP508,C,0,5,cCP508,P,0.10591223254840054,3.3
CP508,P,0,5,pCP508,C,0.22396993365350693,18.1
CP509,C,0,5,cCP509,P,0.13732653608351383,2.9
CP509,P,0,5,pCP509,C,0.2530477205621011,20
CP510,C,0,5,cCP510,P,0.06385320297074891,1.2
CP510,P,0,5,pCP510,C,0.24576410704660412,19.8
CP701,C,0,7,cCP701,P,0.233975272112699,4.6
CP701,P,0,7,pCP701,C,0.19755629694510612,14
CP702,C,0,7,cCP702,P,0.22396993365350695,4.4
CP702,P,0,7,pCP702,C,0.21682513192351333,15.1
CP703,C,0,7,cCP703,P,0.16241037301628267,4.8
CP703,P,0,7,pCP703,C,0.2432387686319142,14.2
CP704,C,0,7,cCP704,P,0.22396993365350695,5.2
CP704,P,0,7,pCP704,C,0.23203724879570337,13.6
CP705,C,0,7,cCP705,P,0.1624103730162827,4.9
CP705,P,0,7,pCP705,C,0.2047010986750996,15.2
CP706,C,0,7,cCP706,P,0.1504966005407421,4.5
CP706,P,0,7,pCP706,C,0.1832921335991784,14.5
CP707,C,0,7,cCP707,P,0.1624103730162827,4.2
CP707,P,0,7,pCP707,C,0.15796150487844474,15.3
CP708,C,0,7,cCP708,P,0.18329213359917845,5.4
CP708,P,0,7,pCP708,C,0.21682513192351333,13.8
CP709,C,0,7,cCP709,P,0.16241037301628272,4.1
